Year,Max Demand,State
2013,2711184.0,UP
2014,3572667.5,UP
2015,3711647.0,UP
2016,4376500.74,UP
2017,5110928.75,UP
2018,5205121.0,UP
2019,5565958.0,UP
2020,5757251.0,UP
2021,6198421.0,UP
2022,6737057.0,UP
2023,7030053.0,UP
2024,1154782.0,UP
2013,4114514.0,Maharashtra
2014,5878840.0,Maharashtra
2015,5943489.0,Maharashtra
2016,6086317.0,Maharashtra
2017,6505990.0,Maharashtra
2018,6950820.0,Maharashtra
2019,6500674.0,Maharashtra
2020,6219664.0,Maharashtra
2021,7293490.0,Maharashtra
2022,7909660.0,Maharashtra
2023,8583220.0,Maharashtra
2024,1660334.0,Maharashtra
2013,508895.0,Bihar
2014,772022.0,Bihar
2015,966510.0,Bihar
2016,1130180.62,Bihar
2017,1305089.75,Bihar
2018,1502020.0,Bihar
2019,1557384.0,Bihar
2020,1579568.0,Bihar
2021,1778180.0,Bihar
2022,1853568.0,Bihar
2023,1938144.0,Bihar
2024,294865.0,Bihar
2013,1687478.0,West Bengal
2014,2226521.0,West Bengal
2015,2213816.0,West Bengal
2016,2405414.7,West Bengal
2017,2449409.93,West Bengal
2018,2506228.0,West Bengal
2019,2517427.0,West Bengal
2020,2195343.0,West Bengal
2021,2452300.0,West Bengal
2022,2640032.0,West Bengal
2023,2867858.0,West Bengal
2024,421314.0,West Bengal
2013,2768098.0,Andhra Pradesh
2014,2589582.0,Andhra Pradesh
2015,1994334.0,Andhra Pradesh
2016,2220790.0,Andhra Pradesh
2017,2396564.0,Andhra Pradesh
2018,2703792.0,Andhra Pradesh
2019,2666928.0,Andhra Pradesh
2020,2566827.0,Andhra Pradesh
2021,2927338.0,Andhra Pradesh
2022,3155435.0,Andhra Pradesh
2023,3635213.0,Andhra Pradesh
2024,715527.0,Andhra Pradesh
2013,1831208.0,MP
2014,2472460.0,MP
2015,2608270.0,MP
2016,2753628.0,MP
2017,2930011.0,MP
2018,3246165.0,MP
2019,3297210.0,MP
2020,3474695.0,MP
2021,3749188.0,MP
2022,3985573.0,MP
2023,4343827.0,MP
2024,958718.0,MP
2013,2879486.0,Tamil Nadu
2014,3881463.0,Tamil Nadu
2015,3897956.0,Tamil Nadu
2016,4435190.0,Tamil Nadu
2017,4438982.0,Tamil Nadu
2018,4609521.0,Tamil Nadu
2019,4569627.0,Tamil Nadu
2020,4076416.0,Tamil Nadu
2021,4520479.0,Tamil Nadu
2022,4895521.0,Tamil Nadu
2023,5351229.0,Tamil Nadu
2024,965491.0,Tamil Nadu
2013,1907770.0,Rajasthan
2014,2813211.6,Rajasthan
2015,2904773.0,Rajasthan
2016,3028150.05,Rajasthan
2017,3134091.12,Rajasthan
2018,3426266.0,Rajasthan
2019,3524120.0,Rajasthan
2020,3697139.0,Rajasthan
2021,4023608.0,Rajasthan
2022,4478821.0,Rajasthan
2023,4797138.0,Rajasthan
2024,1022367.0,Rajasthan
2013,1923569.0,Karnataka
2014,2589847.0,Karnataka
2015,2531600.0,Karnataka
2016,2815490.0,Karnataka
2017,2824334.0,Karnataka
2018,3101991.0,Karnataka
2019,3274696.0,Karnataka
2020,3132629.0,Karnataka
2021,3344689.0,Karnataka
2022,3555006.0,Karnataka
2023,4494429.0,Karnataka
2024,920672.0,Karnataka
2013,2974924.35,Gujarat
2014,3924684.0,Gujarat
2015,4115724.0,Gujarat
2016,4302528.0,Gujarat
2017,4563704.0,Gujarat
2018,4987927.0,Gujarat
2019,4926124.0,Gujarat
2020,4630838.0,Gujarat
2021,5434767.0,Gujarat
2022,5925828.0,Gujarat
2023,6342729.0,Gujarat
2024,1218457.0,Gujarat
2013,907189.0,Odisha
2014,1184891.0,Odisha
2015,1172936.0,Odisha
2016,1274837.19,Odisha
2017,1340538.87,Odisha
2018,1470069.0,Odisha
2019,1385713.0,Odisha
2020,1286757.0,Odisha
2021,1664865.0,Odisha
2022,1872433.0,Odisha
2023,1824923.0,Odisha
2024,289320.0,Odisha
2013,775589.0,Kerala
2014,1038179.0,Kerala
2015,1060231.0,Kerala
2016,1131434.0,Kerala
2017,1135277.0,Kerala
2018,1128774.0,Kerala
2019,1155161.0,Kerala
2020,1078151.0,Kerala
2021,1161471.0,Kerala
2022,1216948.0,Kerala
2023,1345823.0,Kerala
2024,255454.0,Kerala
2013,255100.0,Jharkhand
2014,324070.0,Jharkhand
2015,328984.0,Jharkhand
2016,355990.0,Jharkhand
2017,373608.57,Jharkhand
2018,368558.0,Jharkhand
2019,375196.0,Jharkhand
2020,440565.0,Jharkhand
2021,491820.0,Jharkhand
2022,510198.0,Jharkhand
2023,545884.0,Jharkhand
2024,98096.0,Jharkhand
2013,280870.0,Assam
2014,367929.0,Assam
2015,403377.0,Assam
2016,465410.0,Assam
2017,489617.0,Assam
2018,507590.0,Assam
2019,503276.0,Assam
2020,496879.0,Assam
2021,563763.0,Assam
2022,581846.0,Assam
2023,615575.0,Assam
2024,90003.0,Assam
2013,1705663.0,Punjab
2014,2119066.5,Punjab
2015,2116336.0,Punjab
2016,2285843.04,Punjab
2017,2348772.08,Punjab
2018,2416362.3600000003,Punjab
2019,2473755.0,Punjab
2020,2471535.0,Punjab
2021,2741103.0,Punjab
2022,3030243.0,Punjab
2023,3173842.0,Punjab
2024,509892.0,Punjab
2013,737915.0,Chhattisgarh
2014,995645.0,Chhattisgarh
2015,1072641.0,Chhattisgarh
2016,1090503.0,Chhattisgarh
2017,1154280.0,Chhattisgarh
2018,1211799.0,Chhattisgarh
2019,1258265.0,Chhattisgarh
2020,1156059.0,Chhattisgarh
2021,1333274.0,Chhattisgarh
2022,1445402.0,Chhattisgarh
2023,1597604.0,Chhattisgarh
2024,317183.0,Chhattisgarh
2013,1581255.0,Haryana
2014,2126051.8,Haryana
2015,2212523.0,Haryana
2016,2366352.91,Haryana
2017,2360355.7800000003,Haryana
2018,2388600.52,Haryana
2019,2458100.0,Haryana
2020,2300346.0,Haryana
2021,2522604.0,Haryana
2022,2695295.0,Haryana
2023,2893606.0,Haryana
2024,492058.0,Haryana
2013,1058913.0,Delhi
2014,1355738.0,Delhi
2015,1360695.0,Delhi
2016,1445534.0,Delhi
2017,1503753.0,Delhi
2018,1529890.0,Delhi
2019,1569740.0,Delhi
2020,1394045.0,Delhi
2021,1495846.0,Delhi
2022,1676055.0,Delhi
2023,1668466.0,Delhi
2024,293181.0,Delhi
2020,587057,J&K(UT) & Ladakh(UT)
2021,820687,J&K(UT) & Ladakh(UT)
2022,828620,J&K(UT) & Ladakh(UT)
2023,873088,J&K(UT) & Ladakh(UT)
2024,175244,J&K(UT) & Ladakh(UT)
2013,406011.0,Uttarakhand
2014,544556.0,Uttarakhand
2015,571414.0,Uttarakhand
2016,598344.1900000001,Uttarakhand
2017,605972.01,Uttarakhand
2018,633103.61,Uttarakhand
2019,623533.0,Uttarakhand
2020,570616.0,Uttarakhand
2021,644706.0,Uttarakhand
2022,694525.0,Uttarakhand
2023,706372.0,Uttarakhand
2024,141031.0,Uttarakhand
2013,312764.0,HP
2014,407698.784,HP
2015,411207.0,HP
2016,428860.63,HP
2017,433752.54000000004,HP
2018,461958.71,HP
2019,476452.0,HP
2020,447095.0,HP
2021,524020.0,HP
2022,561038.0,HP
2023,573565.0,HP
2024,122348.0,HP
2013,49253.0,Tripura
2014,68745.0,Tripura
2015,70819.0,Tripura
2016,76790.0,Tripura
2017,75347.0,Tripura
2018,79471.0,Tripura
2019,84299.0,Tripura
2020,82049.0,Tripura
2021,86691.0,Tripura
2022,87634.0,Tripura
2023,92706.0,Tripura
2024,13946.0,Tripura
2013,66290.0,Meghalaya
2014,88673.0,Meghalaya
2015,94528.0,Meghalaya
2016,91608.0,Meghalaya
2017,90159.0,Meghalaya
2018,100501.0,Meghalaya
2019,108004.0,Meghalaya
2020,103570.0,Meghalaya
2021,112020.0,Meghalaya
2022,114132.0,Meghalaya
2023,110136.0,Meghalaya
2024,21003.0,Meghalaya
